INCIDENT_KEY,_addr,_desc,INC_DATE
AZ_08293_02102022_223875_0,1830 E DEL RIO DR Tempe AZ 85282,"Number of Residential Units: 0.0
Not Residential Flag: Y
Number of Buildings Involved: 1.0
Area of Origin: Bathroom, checkroom, lavatory, locker room
Heat Source: Cigarette lighter
Item First Ignited: Multiple items first ignited
Type of Material: Multiple types of material
Cause of Ignition: Intentional
Suppression Factors #1: Locked or jammed doors
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 17082.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Storage supplies, other
Type Material Contributing Most To Spread: Plastic
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Failed to Operate
Number of Sprinklers Operating: 0.0",2022-02-10
AZ_08293_02112022_223927_0,1804 E ELLIOT RD Tempe AZ 85283,"Not Residential Flag: Y
Less Than One Acre: Y
Area of Origin: Highway, parking lot, street: on or near
Heat Source: Heat from direct flame, convection currents
Item First Ignited: Sign, including outdoor signs such as billboards
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Plastic
Cause of Ignition: Intentional
Human Factors #2: Possibly impaired by alcohol or drugs
Equipment Involved: Sign",2022-02-11
AZ_08293_02112022_223996_0,1430 E CEDAR ST Tempe AZ 85281,"Not Residential Flag: Y
Number of Buildings Involved: 1.0
On Site Materials #1: Undetermined
Material Storage Use #1: Undetermined
Area of Origin: Bathroom, checkroom, lavatory, locker room
Heat Source: Heat from other open flame or smoking materials
Item First Ignited: Item First Ignited, Other
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Wood or paper, processed, other
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Undetermined",2022-02-11
AZ_08293_02112022_223988_0,840 E SOUTHERN AVE Tempe AZ 85282,"Not Residential Flag: Y
Area of Origin: Engine area, running gear, wheel area
Heat Source: Undetermined
Item First Ignited: Undetermined
Type of Material: Undetermined
Cause of Ignition: Cause undetermined after investigation",2022-02-11
AZ_08293_02112022_223941_0,7350 S MCCLINTOCK DR Tempe AZ 85283,"Not Residential Flag: Y
Less Than One Acre: Y
Area of Origin: Highway, parking lot, street: on or near
Heat Source: Cigarette lighter
Item First Ignited: Rubbish, trash, or waste
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Multiple types of material
Cause of Ignition: Intentional
Human Factors #2: Possibly impaired by alcohol or drugs",2022-02-11
AZ_08293_02112022_223939_0,1780 W RANCH RD Tempe AZ 85284,"Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined",2022-02-11
AZ_08293_02112022_223934_0,1773 E MCNAIR DR Tempe AZ 85283,"Area of Origin: Cooking area, kitchen
Heat Source: Heat from direct flame, convection currents
Item First Ignited: Cooking materials, including edible materials
Type of Material: Cooking oil, transformer or lubricating oil
Cause of Ignition: Unintentional
Human Factors #2: Possibly impaired by alcohol or drugs
Equipment Involved: Stove, heating
Fire Spread: Confined to building of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 4618.0
Fire Origin (starting story): 1.0
Type Material Contributing Most To Spread: Fat, grease, butter, margarine, lard
Detector Presence: Detectors Present
Detector Type: Sprinkler, water flow detection
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Occupants failed to respond
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 2.0",2022-02-11
AZ_08293_02122022_224032_0,704 S MYRTLE AVE Tempe AZ 85281,"Number of Residential Units: 200.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause under investigation
Factors Contributing To Ignition #1: Misuse of material or product, other
Human Factors #6: Multiple persons involved
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 20.0
Building Height: Stories Below Grade: 2.0
Total Square Feet: 2000.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present",2022-02-12
AZ_08293_02142022_224301_0,1835 E DON CARLOS AVE Tempe AZ 85281,"Number of Residential Units: 1.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation",2022-02-14
AZ_08293_02142022_224244_0,3004 S ALBERT AVE Tempe AZ 85282,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Outside area, other
Heat Source: Cigarette lighter
Item First Ignited: Item First Ignited, Other
Type of Material: Multiple types of material
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Heat source too close to combustibles.
Fire Spread: Confined to floor of origin
Structure Type: Enclosed building
Structure Status: Under major renovation
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1360.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Item First Ignited, Other
Type Material Contributing Most To Spread: Undetermined
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Unknown
Detector Operation: Undetermined
AES Presence: None Present",2022-02-14
AZ_08293_02152022_224314_0,1380 W ELLIOT RD Tempe AZ 85283,"Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation",2022-02-15
AZ_08293_02172022_224512_0,2645 E SOUTHERN AVE Tempe AZ 85282,"Number of Residential Units: 40.0
Number of Buildings Involved: 1.0
Area of Origin: Cooking area, kitchen
Heat Source: Radiated, conducted heat from operating equipment
Item First Ignited: Cooking materials, including edible materials
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Food, starch, excluding fat and grease (Code 31)
Cause of Ignition: Unintentional
Equipment Involved: Oven, rotisserie
Suppression Factors #1: Delayed reporting of fire
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 5.0
Building Height: Stories Below Grade: 1.0
Total Square Feet: 101340.0
Fire Origin (starting story): 0.0
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 1.0",2022-02-17
AZ_08293_02182022_224569_0,987 W WASHINGTON ST Tempe AZ 85281,"On Site Materials #1: Motor vehicles & parts, other
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to floor of origin
Structure Type: Enclosed building
Structure Status: Under construction
Building Height: Stories Above Grade: 5.0
Building Height: Stories Below Grade: 1.0
Total Square Feet: 10000.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire Only
Detector Operation: Fire too small to operate
AES Presence: Present",2022-02-18
AZ_08293_02182022_224577_0,1320 W ELLIOT RD Tempe AZ 85283,"Area of Origin: Cooking area, kitchen
Heat Source: Heat from direct flame, convection currents
Item First Ignited: Cooking materials, including edible materials
Type of Material: Cooking oil, transformer or lubricating oil
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Equipment unattended
Human Factors #3: Unattended or unsupervised person
Equipment Involved: Stove, heating
Fire Spread: Confined to building of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 4618.0
Fire Origin (starting story): 1.0
Type Material Contributing Most To Spread: Fat, grease, butter, margarine, lard
Detector Presence: Detectors Present
Detector Type: Sprinkler, water flow detection
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Occupants failed to respond
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 2.0",2022-02-18
AZ_08293_02202022_224785_0,1243 E SUSAN LN Tempe AZ 85281,"Number of Residential Units: 1.0
Area of Origin: Bedroom - < 5 persons; included are jail or prison
Heat Source: Heat from undetermined smoking material
Item First Ignited: Furniture, utensils, other
Type of Material: Fabric, fiber, cotton, blends, rayon, wool
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Other factor contributed to ignition
Human Factors #1: Asleep
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1500.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Battery Only
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: None Present",2022-02-20
AZ_08293_02222022_224951_0,2030 E RIO SALADO PKY Tempe AZ 85281,"Not Residential Flag: Y
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Other factor contributed to ignition",2022-02-22
AZ_08293_02222022_225002_0,3011 S 52ND ST Tempe AZ 85282,"Not Residential Flag: Y
Number of Buildings Involved: 1.0
Area of Origin: Duct: hvac, cable, exhaust, heating, or AC
Heat Source: Undetermined
Item First Ignited: Undetermined
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined
Equipment Involved: Air conditioner
Fire Spread: Confined to object of origin
Structure Type: Fixed portable or mobile structure
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 0.0
Fire Origin (starting story): 1.0
Detector Presence: None Present
AES Presence: None Present",2022-02-22
AZ_08293_02242022_225175_0,1522 E SOUTHERN AVE Tempe AZ 85282,"Number of Residential Units: 24.0
Number of Buildings Involved: 1.0
Area of Origin: Cooking area, kitchen
Heat Source: Heat from powered equipment, other
Item First Ignited: Cooking materials, including edible materials
Type of Material: Cooking oil, transformer or lubricating oil
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Equipment unattended
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 650.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Cooking materials, including edible materials
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: None Present",2022-02-24
AZ_08293_02242022_225194_0,909 E PLAYA DEL NORTE DR Tempe AZ 85281,"Area of Origin: Vacant structural area
Heat Source: Match
Item First Ignited: Organic materials, other
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Abandoned or discarded materials or products
Human Factors #2: Possibly impaired by alcohol or drugs",2022-02-24
AZ_08293_02282022_225590_0,700 W RIO SALADO PKY Tempe AZ 85281,"Area of Origin: Outside area, other
Heat Source: Hot or smoldering object, other
Item First Ignited: Light vegetation - not crop, including grass
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Outside/open fire for warming or cooking
Human Factors #6: Multiple persons involved",2022-02-28
AZ_08293_02282022_225583_0,222 E 5TH ST Tempe AZ 85281,"Area of Origin: Outside area, other
Heat Source: Cigarette lighter
Item First Ignited: Light vegetation - not crop, including grass
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Outside/open fire for warming or cooking
Human Factors #2: Possibly impaired by alcohol or drugs",2022-02-28
AZ_08293_03012022_225598_0,1949 E UNIVERSITY DR Tempe AZ 85281,"Number of Residential Units: 1.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: Undetermined
Building Height: Stories Above Grade: 4.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 0.0
Fire Origin (starting story): 4.0
Detector Presence: Detectors Present
Detector Type: Sprinkler, water flow detection
Detector Power: Multiple detectors and power supplies
Detector Operation: Fire too small to operate
AES Presence: None Present",2022-03-01
AZ_08293_03022022_225752_0,5343 S RIVER DR Tempe AZ 85283,"Number of Residential Units: 1.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined",2022-03-02
AZ_08293_03022022_225755_0,797 E TYLER ST Tempe AZ 85281,"Area of Origin: Service facilities, other
Heat Source: Heat from powered equipment, other
Item First Ignited: Item First Ignited, Other
Type of Material: Type of material first ignited, other
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Mechanical failure, malfunction, other
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 5.0
Building Height: Stories Below Grade: 1.0
Total Square Feet: 10000.0
Fire Origin (starting story): 0.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present",2022-03-02
AZ_08293_03032022_225784_0,200 W HERMOSA DR Tempe AZ 85282,"Number of Residential Units: 1.0
Area of Origin: Bathroom, checkroom, lavatory, locker room
Heat Source: Radiated, conducted heat from operating equipment
Item First Ignited: Electrical wire, cable insulation
Type of Material: Multiple types of material
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Mechanical failure, malfunction, other
Human Factors #1: Asleep
Fire Spread: Confined to building of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 960.0
Fire Origin (starting story): 2.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Battery Only
Detector Operation: Failed to Operate
Detector Failure Reason: Improper installation or placement
AES Presence: None Present",2022-03-03
AZ_08293_03042022_225978_0,1341 E UNIVERSITY DR Tempe AZ 85281,"On Site Materials #1: Linens
Area of Origin: Outside area, other
Heat Source: Hot or smoldering object, other
Item First Ignited: Linen; other than bedding
Type of Material: Wood chips, sawdust, shavings
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Misuse of material or product, other
Human Factors #3: Unattended or unsupervised person",2022-03-04
AZ_08293_03062022_226114_0,1001 S MCALLISTER AVE Tempe AZ 85281,"Not Residential Flag: Y
Number of Buildings Involved: 1.0
On Site Materials #1: Laboratory supplies
Area of Origin: Laboratory
Heat Source: Undetermined
Item First Ignited: Undetermined
Type of Material: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Suppression Factors #1: Radiological hazard onsite
Suppression Factors #2: Biological hazard onsite
Suppression Factors #3: Natural or other lighter than air gas present
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 4.0
Building Height: Stories Below Grade: 1.0
Total Square Feet: 350000.0
Fire Origin (starting story): 2.0
Item Contributing Most to Spread: Undetermined
Type Material Contributing Most To Spread: Undetermined
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 1.0",2022-03-06
AZ_08293_03072022_226180_0,1750 S PRICE RD Tempe AZ 85281,"Number of Residential Units: 2.0
Area of Origin: Corridor, mall
Heat Source: Heat from powered equipment, other
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined",2022-03-07
AZ_08293_03092022_226394_0,12 E GARFIELD ST Tempe AZ 85281,"Number of Residential Units: 0.0
Number of Buildings Involved: 0.0
Area of Origin: Outside area, other
Heat Source: Cigarette lighter
Item First Ignited: Organic materials, other
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Outside/open fire for warming or cooking",2022-03-09
AZ_08293_03132022_226724_0,1975 E WILDERMUTH AVE Tempe AZ 85281,"On Site Materials #1: Discarded material, other
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined",2022-03-13
AZ_08293_03132022_226728_0,1024 E VISTA DEL CERRO DR Tempe AZ 85281,"Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined
Structure Type: Open structure",2022-03-13
AZ_08293_03152022_226900_0,5914 S BONARDEN LN Tempe AZ 85283,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Bedroom - < 5 persons; included are jail or prison
Heat Source: Heat from powered equipment, other
Item First Ignited: Undetermined
Type of Material: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined
Equipment Involved: Coffee maker or teapot
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1792.0
Fire Origin (starting story): 1.0
Type Material Contributing Most To Spread: Undetermined
Detector Presence: Detectors Present
Detector Type: Other
Detector Power: Unknown
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: None Present",2022-03-15
AZ_08293_03182022_227183_0,1205 S RURAL RD Tempe AZ 85281,"Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined",2022-03-18
AZ_08293_03182022_227235_0,1655 E UNIVERSITY DR Tempe AZ 85281,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Cooking area, kitchen
Heat Source: Radiated, conducted heat from operating equipment
Item First Ignited: Cooking materials, including edible materials
Type of Material: Cooking oil, transformer or lubricating oil
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Equipment unattended
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 3.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1115.0
Fire Origin (starting story): 2.0
Item Contributing Most to Spread: Flammable liquid/gas - uncontained
Type Material Contributing Most To Spread: Cooking oil, transformer or lubricating oil
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Unknown
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 1.0",2022-03-18
AZ_08293_03182022_227201_0,1007 N PARKSIDE DR Tempe AZ 85281,"Area of Origin: Engine area, running gear, wheel area
Heat Source: Heat from powered equipment, other
Item First Ignited: Flammable liquid/gas - in/from engine or burner
Type of Material: Type of material first ignited, other
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Automatic control failure",2022-03-18
